symbol,name,trading_name ,sectoer,date,open,high,low,close,change,perc_Change,volume_traded ,value_traded,no_trades 
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-19,15.1,15.2,14.88,14.9,-0.1,-0.67,50301.0,754902.72,117.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-16,15.22,15.22,14.8,15.0,-0.22,-1.45,38996.0,583368.06,102.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-15,15.4,15.4,15.22,15.22,-0.24,-1.55,33518.0,513939.32,123.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-14,15.3,15.46,15.06,15.46,0.16,1.05,42212.0,644199.0,135.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-13,15.4,15.4,15.16,15.3,0.0,0.0,115371.0,1767644.52,160.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-12,15.54,15.68,15.26,15.3,-0.24,-1.54,84972.0,1312376.5,181.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-09,15.6,15.98,15.34,15.54,-0.02,-0.13,280278.0,4397525.0,305.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-08,15.68,15.7,15.38,15.56,-0.14,-0.89,158701.0,2469813.76,276.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-07,15.52,16.0,15.44,15.7,0.2,1.29,265200.0,4186849.68,466.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-06,15.04,15.74,14.96,15.5,0.18,1.17,244575.0,3773990.58,463.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-05,15.7,15.7,15.3,15.32,-0.2,-1.29,94317.0,1458784.32,172.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-02,15.6,15.7,15.42,15.52,0.04,0.26,107868.0,1681804.24,251.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-01,15.3,15.78,15.2,15.48,0.22,1.44,148285.0,2297597.4,230.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-31,15.1,15.36,15.02,15.26,0.26,1.73,201834.0,3077285.32,351.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-30,15.1,15.1,14.84,15.0,0.1,0.67,277056.0,4161364.6,392.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-29,14.9,15.14,14.64,14.9,0.3,2.05,385823.0,5768142.0,653.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-26,14.86,14.86,14.5,14.6,0.38,2.67,76090.0,1112016.56,124.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-25,14.6,15.2,14.0,14.22,-0.22,-1.52,447457.0,6621481.3,579.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-24,13.86,14.68,13.86,14.44,0.6,4.34,216983.0,3113535.24,360.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-23,13.7,13.84,13.5,13.84,-0.16,-1.14,57230.0,785180.8,110.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-22,13.9,14.3,13.9,14.0,-0.06,-0.43,97473.0,1372244.8,197.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-19,13.52,14.3,13.5,14.06,0.42,3.08,191725.0,2685035.36,326.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-18,13.5,14.0,13.5,13.64,0.04,0.29,215510.0,2933416.88,286.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-17,13.2,13.62,13.12,13.6,0.4,3.03,166370.0,2225740.72,277.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-16,14.18,14.18,13.14,13.2,-1.22,-8.46,315247.0,4280804.48,288.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-15,16.0,16.0,14.42,14.42,-1.12,-7.21,295748.0,4386633.22,338.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-12,15.5,16.46,15.0,15.54,-1.06,-6.39,121959.0,1925031.78,141.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-11,18.68,18.68,16.5,16.6,-0.7,-4.05,560894.0,9953816.88,678.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-10,17.4,17.4,16.44,17.3,1.06,6.53,166140.0,2835044.4,260.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-09,15.76,17.0,15.76,16.24,-1.26,-7.2,84732.0,1364367.18,160.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-03-08,17.42,18.18,17.22,17.5,-1.54,-8.09,135387.0,2395225.06,188.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-23,13.8,13.92,13.68,13.8,0.2,1.47,514508.0,7106351.62,696.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-22,13.32,13.62,13.2,13.6,0.16,1.19,979095.0,13129160.98,1028.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-21,13.8,13.92,13.44,13.44,-0.6,-4.27,978842.0,13418840.68,1301.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-20,13.88,14.3,13.84,14.04,0.28,2.03,2738495.0,38594674.4,2885.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-19,13.9,14.0,13.44,13.76,0.16,1.18,1381626.0,18951444.94,1154.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-16,14.16,14.24,13.6,13.6,-0.52,-3.68,658809.0,9131321.08,710.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-15,14.62,14.7,14.1,14.12,-0.56,-3.81,461795.0,6640829.98,774.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-14,14.8,14.84,14.58,14.68,-0.06,-0.41,244325.0,3579585.7,364.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-13,15.06,15.06,14.74,14.74,-0.3,-1.99,284770.0,4222030.36,359.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-12,15.42,15.42,15.0,15.04,-0.46,-2.97,314739.0,4764988.44,376.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-09,15.82,15.84,15.46,15.5,-0.14,-0.9,142243.0,2229030.02,309.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-08,15.52,16.04,15.52,15.64,0.14,0.9,929033.0,14723889.46,1085.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-07,15.34,15.62,15.3,15.5,0.22,1.44,438751.0,6779791.84,498.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-06,15.1,15.28,15.1,15.28,0.18,1.19,137835.0,2100523.98,186.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-05,15.48,15.48,15.1,15.1,-0.2,-1.31,208402.0,3183286.76,345.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-02,15.32,15.52,15.3,15.3,-0.04,-0.26,206660.0,3174598.6,328.0
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,2020-04-01,15.36,15.5,15.22,15.34,-0.12,-0.78,89661.0,1380124.58,175.0
